CMPD_CHEMBLID	CANONICAL_SMILES	PCHEMBL_VALUE	ASSAY_CHEMBLID
CHEMBL1083705	C(C(N1CCNCC1)c2ccccc2)c3ccccc3OC4CC4	5.19	CHEMBL1120514
CHEMBL1083706	C(Oc1ccccc1CC(N2CCNCC2)c3ccccc3)C4CC4	5.53	CHEMBL1120514
CHEMBL1083707	C(C(N1CCNCC1)c2ccccc2)c3cccc4CCOc34	4.67	CHEMBL1120514
CHEMBL1083708	FC(F)Oc1ccccc1CC(N2CCNCC2)c3ccccc3	4.82	CHEMBL1120514
CHEMBL1083750	Cn1nccc1c2cc(NC(=O)c3ccc(F)cc3F)ccc2OCCN4CCOCC4	5.39	CHEMBL1119165
CHEMBL1083787	Fc1ccc(cc1)c2ccc(NC(=O)NCCCCN3CCCCC3)cn2	5.89	CHEMBL1118799
CHEMBL1083999	CN(C)CCCCc1ccc(cc1)C(C)(C)C	5.13	CHEMBL2208705
CHEMBL1084000	CN(C)CCCCc1ccc(cc1)C2(C)COC2	4.46	CHEMBL2208705
CHEMBL1084033	Fc1ccc(cc1)C(Cc2ccccc2OC(F)(F)F)N3CCNCC3	5.02	CHEMBL1120514
CHEMBL1084132	C(C1CCCCN1)N2CCN(C2)c3ccccc3	4.8	CHEMBL1106923
CHEMBL1084294	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5cc(Cl)nc(Cl)c5	4.69	CHEMBL1827362
CHEMBL1084309	FC(F)Oc1ccccc1CC(N2CCNCC2)c3ccccc3F	5.19	CHEMBL1120514
CHEMBL1084314	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c[nH]nc4C	4.75	CHEMBL1827362
CHEMBL1084383	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc5ncnn5c4C	5.55	CHEMBL1827362
CHEMBL1084384	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cn5CCSc5n4	4.4	CHEMBL1827362
CHEMBL1084385	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(C)nc5ccccn45	5.1	CHEMBL1827362
CHEMBL1084400	FC(F)(F)c1cccc(c1)c2cc(CCCN3CCCCC3)nc(n2)C#N	6.8	CHEMBL1101904
CHEMBL1084401	CCC(CC)NCCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F	6.5	CHEMBL1101904
CHEMBL1084402	CC(C)(C)NCCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F	5.96	CHEMBL1101904
CHEMBL1084559	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(C)nc4C	4.69	CHEMBL1827362
CHEMBL1084560	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cccnc4	4.92	CHEMBL1827362
CHEMBL1084577	FC(F)Oc1ccccc1CC(N2CCNCC2)c3cccc(F)c3	5.08	CHEMBL1120514
CHEMBL1084581	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccn[nH]4	4.4	CHEMBL1827362
CHEMBL1084582	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cn[nH]c4	4.4	CHEMBL1827362
CHEMBL1084616	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccn5ncnc5n4	4.68	CHEMBL1827362
CHEMBL1084617	COc1cccc(c1)C(=O)Nc2ccc(OCCN3CCOCC3)c(c2)c4ccnn4C	4.96	CHEMBL1119165
CHEMBL1084826	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(C)n[nH]c4C	4.4	CHEMBL1827362
CHEMBL1084827	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnn(C)c4C	4.4	CHEMBL1827362
CHEMBL1084877	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnn(c4C)c5cc(cc(C)n5)C(F)(F)F	4.78	CHEMBL1827362
CHEMBL1084878	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5ccccc5	5.8	CHEMBL1827362
CHEMBL1084879	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5ccc(OCC(F)(F)F)nc5	5.82	CHEMBL1827362
CHEMBL1085124	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(s4)c5ccc(C)s5	5.7	CHEMBL1827362
CHEMBL1085142	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc5nc6ccccc6n5c4C	5.76	CHEMBL1827362
CHEMBL1085325	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)C(C)(C)C	5.17	CHEMBL1827362
CHEMBL1085336	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(cc4)N5CCCCC5	5.55	CHEMBL1827362
CHEMBL1085337	CC1CCN(CC1)c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2	4.65	CHEMBL1827362
CHEMBL1085396	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(C)onc4c5ccc(Cl)cc5	5.8	CHEMBL1827362
CHEMBL1085397	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(Cl)n(C)nc4c5ccccc5	5.22	CHEMBL1827362
CHEMBL1085398	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(C)onc4c5ccccc5	5.19	CHEMBL1827362
CHEMBL1085567	COc1ccccc1CC(N2CCNCC2)c3ccc(F)cc3	4.8	CHEMBL1120514
CHEMBL1085591	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)C4=NCCS4	4.6	CHEMBL1827362
CHEMBL1085592	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)c5cnccn5	4.5	CHEMBL1827362
CHEMBL1085627	CC(=O)N1CCN(CCOc2ccc(NC(=O)c3cccc(F)c3)cc2c4ccnn4C)CC1	5.39	CHEMBL1119165
CHEMBL1085641	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4onc(c4C)c5ccc(Cl)cc5	5.7	CHEMBL1827362
CHEMBL1085672	Clc1cccc(c1)N2CCN(CC3CCCCN3)C2=O	5.1	CHEMBL1106923
CHEMBL1085783	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4c(O)ccnc4C(F)(F)F	4.4	CHEMBL1827362
CHEMBL1085800	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4ccc(cc4)C#N	5.5	CHEMBL1827362
CHEMBL1085828	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cncnc4	4.4	CHEMBL1827362
CHEMBL1085841	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)c5ccncc5	5.32	CHEMBL1827362
CHEMBL1085866	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4sc(nc4C)c5ccccn5	4.95	CHEMBL1827362
CHEMBL1085959	COc1ccccc1CC(N2CCNCC2)c3ccccc3F	4.4	CHEMBL1120514
CHEMBL1085964	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnccn4	4.61	CHEMBL1827362
CHEMBL1086032	C[C@@H]1CCCN1CCc2ccc3ncccc3c2	4.4	CHEMBL1827362
CHEMBL1086034	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)C4CC4	4.36	CHEMBL1827362
CHEMBL1086072	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5csc(C)n5	4.91	CHEMBL1827362
CHEMBL1086073	C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4csc(n4)c5cc(C)on5	5.55	CHEMBL1827362
