BindingDB MonomerID	Ligand SMILES	IC50_Orexin2_nM
183983	Fc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-n1cccn1)-n1nccn1	1527
183984	Cc1ccc(c(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2cccn2)c1F)-n1nccn1	1649
183985	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2cccn2)c(c1)-n1nccn1	318
183986	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-n1cncn1)-n1nccn1	4780
183987	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-c1ccccn1)-n1nccn1	1030
183988	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-c1cccnc1)-n1nccn1	1400
183989	Fc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-n1nccn1)-n1nccn1	822
183990	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c(c1)-n1nccn1	274
183991	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-c1ccncc1)-n1nccn1	2107
183992	Cc1ccc(c(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c1F)-n1nccn1	333
183993	Clc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-n1nccn1)-n1nccn1	199
183994	O=C(N1CCOC[C@H]1Cc1cccc(c1)-n1nccn1)c1cc(ccc1-n1nccn1)C#N	360
183995	COc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-n1nccn1)-n1nccn1	489
183996	COc1ccc(c(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c1F)-n1nccn1	1200
183997	COc1cc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c(cc1OC)-n1nccn1	1230
183998	Cc1cc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c(cc1C)-n1nccn1	25
183999	Fc1ccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c(c1)-n1nccn1	889
184000	COc1cc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c(cc1C)-n1nccn1	209
184001	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-n1cccc1)-n1nccn1	131
184002	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-c1nccc(C)n1)-n1nccn1	231
184003	Cc1ccnc(n1)-c1cccc(C[C@@H]2COCCN2C(=O)c2ccccc2-n2nccn2)c1	762
184004	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-c1cnccn1)-n1nccn1	1043
184005	O=C(N1CCOC[C@H]1Cc1cccc(c1)-c1ncco1)c1ccccc1-n1nccn1	2009
184006	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-c1nccs1)-n1nccn1	273
184007	O=C(N1CCOC[C@H]1Cc1cccc(c1)-c1nccs1)c1ccccc1-n1nccn1	457
184008	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-c1cccs1)-n1nccn1	119
184009	O=C(N1CCOC[C@H]1Cc1cccc(c1)-c1cccs1)c1ccccc1-n1nccn1	163
184010	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-c1cccnn1)-n1nccn1	2380
184011	O=C(N1CCOC[C@H]1Cc1cccc(c1)-c1cccnn1)c1ccccc1-n1nccn1	4440
184012	Cc1ccc(c(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-c2ncccn2)c1F)-n1nccn1	582
184013	COc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-c1ncccn1)-n1nccn1	942
184014	Clc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-c1ncccn1)-n1nccn1	229
184015	Cc1ccc(c(n1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-n1nccn1)-n1nccn1	1630
184016	Cc1ccc(c(n1)C(=O)N1CCOC[C@H]1Cc1cccc(c1)-n1cccn1)-n1nccn1	3404
184017	Fc1cccc(C(=O)N2CCOC[C@H]2Cc2cccc(c2)-n2nccn2)c1-n1nccn1	1824
